index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,7_8_1_1#4_2_7_3#3_2_5_4#9_2_3_7#2_4_4_6#9_1_8_6#6_6_3_1#7_8_8_9#5_9_5_5#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,26,95.8,Insane
1,2_9_1_2#5_9_1_5#3_5_7_3#8_6_2_6#8_4_1_7#9_5_6_3#4_7_9_1#2_4_8_7#6_4_8_3#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,95.8,Insane
2,5_9_9_3#6_8_8_9#2_6_4_6#2_2_5_5#2_4_3_8#4_7_8_5#7_3_1_1#7_6_1_3#9_7_4_1#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,26,95.8,Insane
3,9_9_6_2#5_3_8_7#7_4_1_5#8_4_1_1#6_3_7_8#3_6_4_1#4_3_9_5#5_7_6_2#8_2_9_2#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,28,95.8,Insane
4,6_9_8_3#8_2_4_1#7_1_9_8#9_4_3_2#3_7_2_5#7_7_4_1#1_8_5_4#6_5_9_2#5_3_6_6#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,95.8,Insane
5,8_9_1_3#7_3_6_5#2_2_3_2#9_7_5_2#1_8_7_6#4_9_9_4#1_6_8_3#6_1_7_4#5_5_4_8#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,92.8,Insane
6,2_4_9_4#4_3_5_1#5_2_5_8#3_4_8_5#9_1_6_2#7_7_3_7#9_9_6_6#2_8_1_1#7_8_6_3#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,26,95.8,Insane
7,3_7_2_9#2_8_9_2#1_1_7_3#4_8_8_6#8_5_1_1#9_9_6_4#4_5_7_7#5_4_2_6#3_5_6_3#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,26,95.8,Insane
8,9_9_1_6#9_1_8_8#3_4_3_4#2_7_2_1#1_6_2_7#2_3_3_8#5_6_5_9#8_4_7_5#5_6_7_4#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,28,95.8,Insane
9,4_2_9_7#5_5_7_3#4_9_8_5#4_3_6_9#9_7_6_1#6_2_8_5#6_2_1_2#3_4_3_8#1_7_1_8#0#0,1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,95.8,Insane
